,glosy_niewazne_proc rural area, ,glosy_niewazne_proc urban area
biedron, 0.62683175598356, 0.43418870032396
bosak, 0.36036606914926, 0.30159574891252
duda, 0.46016096922663, 0.70496717217714
holownia, 0.36422360968164, 0.30387728040338
jakubiak, 0.43647705860401, 0.42707899372693
kosiniak, 0.41606265714185, 0.4973361814355
piotrowski, 0.45205975625552, 0.39394621538251
tanajno, 0.39266905258566, 0.36301829432661
trzaskowski, 0.35323007693679, 0.32253784852142
witkowski, 0.40226279316396, 0.35870687044834
zoltek, 0.41346408219339, 0.36899417010379
