,biedron,bosak,duda,holownia,jakubiak,kosiniak,piotrowski,tanjano,trzaskowski,witkowski,zoltek
official,2.2245829788508993,6.781367795804115,43.50232282733714,13.865319360573578,0.1732249220258765,2.364757765674953,0.10844253863339441,0.14367542419745571,30.462011031743884,0.14048881458843263,0.23380654057027647
low invalid,2.2932295116311447,6.806858061905252,42.04720382773127,14.082768052445228,0.17407354875816042,2.3177253782383014,0.1078468751341905,0.14340329240062094,31.644411103751867,0.14616843006543942,0.23631191793852155
high invalid,1.9643934271314056,6.684752560606486,49.017630664048724,13.04112802317283,0.1700083894479388,2.543023663569821,0.110700269833449,0.14470687979119595,25.980384178517195,0.11896148400012428,0.22431045988083137
