,glosy_niewazne_proc miasto
duda,0.70496717217714
kosiniak,0.4973361814355
biedron,0.43418870032396
jakubiak,0.42707899372693
piotrowski,0.39394621538251
zoltek,0.36899417010379
tanajno,0.36301829432661
witkowski,0.35870687044834
trzaskowski,0.32253784852142
holownia,0.30387728040338
bosak,0.30159574891252
