,biedron,bosak,duda,holownia,jakubiak,kosiniak,piotrowski,tanjano,trzaskowski,witkowski,zoltek
official,2.22,6.78,43.50,13.87,0.17,2.36,0.11,0.14,30.46,0.14,0.23
avgerage,2.03,6.51,48.99,12.81,0.20,2.60,0.13,0.15,26.19,0.13,0.24
