symbol_kontrolny,typ_obszaru,numer_obwodu,siedziba,wyborcy_uprawnieni,niewazne,wynik_biedron_proc,wynik_bosak_proc,wynik_duda_proc,wynik_holownia_proc,wynik_jakubiak_proc,wynik_kosiniak_proc,wynik_piotrowski_proc,wynik_tanajno_proc,wynik_trzaskowski_proc,wynik_witkowski_proc,wynik_zoltek_proc
420e-c33c-ed3d-0877-0137-9fb5-76c2-3682,miasto,65,"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków",1309,9,3.61990950226244,6.22171945701358,34.3891402714932,12.5565610859729,0.226244343891403,2.60180995475113,0.113122171945701,0.113122171945701,38.6877828054299,0.339366515837104,1.13122171945701
bcd9-84b8-733e-78d8-dae7-a44c-7ece-c709,miasto,66,"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków",1633,4,6.10104861773117,6.95900857959962,30.5052430886559,13.6320305052431,0.09532888465205,4.00381315538608,0,0.381315538608198,37.3689227836034,0.190657769304099,0.762631077216397
df0a-2b7d-1316-46e7-76ef-82bb-ae00-3b85,miasto,67,"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków",1808,3,4.26731078904992,5.87761674718197,31.7230273752013,13.0434782608696,0.161030595813205,2.57648953301127,0.080515297906602,0,41.1433172302738,0.563607085346216,0.563607085346216
e576-26ba-fb24-1039-4572-331e-9a12-b092,miasto,193,"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, 30-436 Kraków",1235,2,2.79569892473118,7.52688172043011,33.5483870967742,12.5806451612903,0.10752688172043,1.82795698924731,0.10752688172043,0.10752688172043,41.0752688172043,0.10752688172043,0.21505376344086
4f87-ce78-5091-10a6-63bd-14bd-d932-6643,miasto,194,"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, 30-436 Kraków",1452,3,2.39574090505768,5.41259982253771,28.4826974267968,13.2209405501331,0.177462289263532,3.01685891748004,0.088731144631766,0.177462289263532,46.3176574977817,0.266193433895297,0.443655723158829
558b-05b7-83bb-9cfb-f2df-2b5f-7e98-1ab1,miasto,195,"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, 30-436 Kraków",1580,3,3.2,8.44444444444444,26.2222222222222,18.8444444444444,0.355555555555556,2.75555555555556,0,0.177777777777778,39.4666666666667,0.088888888888889,0.444444444444444
43f6-af70-673a-4c99-d580-b080-f1e3-6689,miasto,1,"Szkoła Podstawowa Nr1, ul. Chopina 26, 62-065 Grodzisk Wielkopolski",2085,5,2.15877437325905,6.8941504178273,32.5905292479109,24.4428969359331,0.278551532033426,2.57660167130919,0.139275766016713,0,30.7103064066852,0,0.20891364902507
ba19-8736-b5f7-15e2-3110-d38d-b5d3-ff44,wieś,7,"Szkoła Podstawowa Nr1, ul. Chopina 26, 62-065 Grodzisk Wielkopolski",2172,3,1.36986301369863,6.07876712328767,43.3219178082192,22.6027397260274,0.171232876712329,2.22602739726027,0,0.085616438356164,23.7157534246575,0.342465753424657,0.085616438356164
dc8e-90a3-3f35-be09-44d5-1400-81eb-9abd,wieś,13,"Szkoła Podstawowa Potok, Potok 73, 38-404 Krosno",683,0,3.01507537688442,8.29145728643216,56.2814070351759,13.3165829145729,0,2.26130653266332,0,0,16.5829145728643,0,0.251256281407035
942e-66b8-454e-220e-809b-30fc-3f8e-70e9,wieś,14,"Szkoła Podstawowa Potok, Potok 73, 38-404 Krosno",672,0,3.60824742268041,7.47422680412371,50.7731958762887,8.76288659793815,0.77319587628866,2.31958762886598,0.257731958762887,0,25.2577319587629,0.515463917525773,0.257731958762887
76d3-dd83-bb33-b6de-d407-6a54-7466-a40d,miasto,61,"Szkoła Podstawowa Specjalna Nr 38, ul. Ks. Konstantego Damrota 33, 41-800 Zabrze",1708,3,4.02611534276387,7.50816104461371,38.3025027203482,15.1251360174102,0,2.06746463547334,0.108813928182807,0.108813928182807,32.4265505984766,0,0.326441784548422
0088-8954-1b60-f6e7-d249-d354-bf25-d183,miasto,62,"Szkoła Podstawowa Specjalna Nr 38, ul. Ks. Konstantego Damrota 33, 41-800 Zabrze",1769,0,2.42966751918159,7.92838874680307,40.7928388746803,13.5549872122762,0.127877237851662,0.767263427109974,0,0.255754475703325,33.6317135549872,0.255754475703325,0.255754475703325
51d9-1e5b-0107-0627-3996-f79d-6b03-6e6f,miasto,41,"Szkoła Podstawowa Specjalna Nr 40, ul. Bytomska 94, 41-803 Zabrze",1394,3,2.93663060278207,7.57341576506955,41.7310664605873,15.3013910355487,0.154559505409583,1.85471406491499,0.154559505409583,0.154559505409583,29.5208655332303,0,0.618238021638331
8297-3a73-c75f-c492-f715-b2a8-3fb9-72de,miasto,42,"Szkoła Podstawowa Specjalna Nr 40, ul. Bytomska 94, 41-803 Zabrze",1416,4,3.20366132723112,11.2128146453089,43.7070938215103,15.7894736842105,0,1.83066361556064,0,0.22883295194508,24.0274599542334,0,0
1823-3743-9a03-caad-1ea5-3ae3-61cf-5d85,miasto,14,"Szkoła Podstawowa Specjalna, ul. Dworcowa 20/22, 86-200 Chełmno",1096,2,2.20125786163522,5.81761006289308,38.5220125786164,18.7106918238994,0.314465408805031,1.72955974842767,0,0,32.7044025157233,0,0
cf74-14fd-0f40-f99f-a0ec-f957-08e6-c0f4,miasto,15,"Szkoła Podstawowa Specjalna, ul. Dworcowa 20/22, 86-200 Chełmno",936,1,1.34357005758157,3.6468330134357,37.4280230326296,19.9616122840691,0,1.34357005758157,0.191938579654511,0,35.700575815739,0.383877159309021,0
826a-b8d7-3eba-a06f-077f-d237-0d05-cd6e,dzielnica w m.st. Warszawa,145,"Szkoła Podstawowa Sportowa Nr 272 im. Eugeniusza Lokajskiego, ul. Piaseczyńska 114/116, 00-765 Warszawa",1963,2,4.83128834355828,4.37116564417178,24.1564417177914,11.579754601227,0.076687116564417,1.53374233128834,0.383435582822086,0.460122699386503,51.840490797546,0.230061349693252,0.53680981595092
a116-b773-92de-cc7b-bfb6-e892-9e96-e171,dzielnica w m.st. Warszawa,146,"Szkoła Podstawowa Sportowa Nr 272 im. Eugeniusza Lokajskiego, ul. Piaseczyńska 114/116, 00-765 Warszawa",1512,5,4.13145539906103,5.53990610328639,23.943661971831,15.2112676056338,0.093896713615024,2.25352112676056,0,0.375586854460094,47.793427230047,0.375586854460094,0.28169014084507
107c-4486-ef79-c0de-9ddd-ed44-abb1-3fdd,miasto,69,"Szkoła Podstawowa Sportowa z Klasami Integracyjnymi nr 15, ul. Energetyków 15, 41-706 Ruda Śląska",1679,1,1.86915887850467,5.32710280373832,48.5981308411215,14.6728971962617,0.093457943925234,1.68224299065421,0.186915887850467,0.093457943925234,27.1028037383178,0.093457943925234,0.280373831775701
0cce-b665-829a-e9b3-6c27-5341-babf-5620,miasto,70,"Szkoła Podstawowa Sportowa z Klasami Integracyjnymi nr 15, ul. Energetyków 15, 41-706 Ruda Śląska",1696,1,2.64400377714825,8.21529745042493,41.7374881964117,16.9027384324835,0.094428706326723,1.79414542020774,0.188857412653447,0.188857412653447,27.8564683663834,0.094428706326723,0.28328611898017
