gmina,polling_stations
gm. Szudziałowo,4
gm. Szypliszki,4
gm. Słaboszów,4
gm. Słupia (Jędrzejowska),4
gm. Tereszpol,4
gm. Tomice,4
gm. Trzcianne,4
gm. Trzciel,4
gm. Trzcińsko-Zdrój,4
gm. Trzyciąż,4
gm. Tuchomie,4
gm. Turośl,4
gm. Udanin,4
gm. Uścimów,4
gm. Widuchowa,4
gm. Wieczfnia Kościelna,4
gm. Wielowieś,4
gm. Wieniawa,4
gm. Wierzbno,4
gm. Wilczęta,4
gm. Wilkołaz,4
gm. Winnica,4
gm. Witonia,4
gm. Wojciechowice,4
gm. Wola Mysłowska,4
gm. Wróblew,4
gm. Wysoka,4
gm. Węgorzyno,4
gm. Zalewo,4
gm. Zaniemyśl,4
gm. Zapolice,4
gm. Zbiczno,4
gm. Zbójno,4
gm. Zwierzyn,4
gm. Zębowice,4
gm. Łoniów,4
gm. Łopiennik Górny,4
gm. Łubowo,4
gm. Łękawica,4
gm. Łęki Szlacheckie,4
gm. Świerzno,4
gm. Świnice Warckie,4
gm. Święciechowa,4
gm. Żegocina,4
gm. Żelechlinek,4
gm. Żytno,4
m. Duszniki-Zdrój,4
m. Grybów,4
m. Imielin,4
m. Jordanów,4
m. Kowal,4
m. Lubawa,4
m. Mszana Dolna,4
m. Piechowice,4
m. Polanica-Zdrój,4
m. Sejny,4
m. Szczyrk,4
m. Łaskarzew,4
gm. Bargłów Kościelny,3
gm. Bejsce,3
gm. Białopole,3
gm. Białowieża,3
gm. Bielany,3
gm. Bieżuń,3
gm. Bobrowice,3
gm. Bojadła,3
gm. Boleszkowice,3
gm. Borzytuchom,3
gm. Borów,3
gm. Brok,3
gm. Budziszewice,3
gm. Bukowsko,3
gm. Będków,3
gm. Cedynia,3
gm. Ceranów,3
gm. Chełm Śląski,3
gm. Chociwel,3
gm. Chotcza,3
gm. Chrzypsko Wielkie,3
gm. Chąśno,3
gm. Cielądz,3
gm. Ciepłowody,3
gm. Cieszków,3
gm. Czarna Woda,3
gm. Czastary,3
gm. Damnica,3
gm. Dobroszyce,3
gm. Dobryszyce,3
gm. Domanice,3
gm. Domaniewice,3
gm. Dominowo,3
gm. Dubeninki,3
gm. Dubicze Cerkiewne,3
gm. Dubienka,3
gm. Dziadowa Kłoda,3
gm. Dziemiany,3
gm. Dzierzążnia,3
gm. Dębowa Łąka,3
gm. Fałków,3
gm. Filipów,3
gm. Gilowice,3
gm. Godkowo,3
gm. Golczewo,3
gm. Goszczyn,3
gm. Gołymin-Ośrodek,3
gm. Grudusk,3
gm. Grębków,3
gm. Janowiec,3
gm. Jasieniec,3
gm. Jastarnia,3
gm. Jastrząb,3
gm. Jejkowice,3
gm. Jeleniewo,3
gm. Jemielno,3
gm. Jeziorzany,3
gm. Kaliska,3
gm. Kargowa,3
gm. Kiernozia,3
gm. Kiełczygłów,3
gm. Kleszczewo,3
gm. Kluki,3
gm. Klukowo,3
gm. Knyszyn,3
gm. Kobiór,3
gm. Kobylanka,3
gm. Kocierzew Południowy,3
gm. Korycin,3
gm. Koszyce,3
gm. Kołaki Kościelne,3
gm. Krasnopol,3
gm. Kraszewice,3
gm. Krotoszyce,3
gm. Krypno,3
gm. Krzeszyce,3
gm. Kuślin,3
gm. Kwilcz,3
gm. Lichnowy,3
gm. Lipce Reymontowskie,3
gm. Lipusz,3
gm. Lubomino,3
gm. Lądek,3
gm. Markusy,3
gm. Małomice,3
gm. Miasteczko Krajeńskie,3
gm. Mielnik,3
gm. Mirów,3
gm. Miłki,3
gm. Mokobody,3
gm. Morzeszczyn,3
gm. Mycielin,3
gm. Młynary,3
gm. Młynarze,3
gm. Mściwojów,3
gm. Niechanowo,3
gm. Niegosławice,3
gm. Nowe Piekuty,3
gm. Nowogródek Pomorski,3
gm. Ojrzeń,3
gm. Olszówka,3
gm. Opatowiec,3
gm. Ornontowice,3
gm. Osiek Mały,3
gm. Ostaszewo,3
gm. Perzów,3
gm. Podedwórze,3
gm. Polanka Wielka,3
gm. Potok Wielki,3
gm. Pozezdrze,3
gm. Przeciszów,3
gm. Przedecz,3
gm. Przerośl,3
gm. Przewóz,3
gm. Przybiernów,3
gm. Przykona,3
gm. Przywidz,3
gm. Płaska,3
gm. Płoskinia,3
gm. Racławice,3
gm. Rewal,3
gm. Rossosz,3
gm. Rozdrażew,3
gm. Ruja,3
gm. Rutka-Tartak,3
gm. Rychliki,3
gm. Rzewnie,3
gm. Różan,3
gm. Sadlinki,3
gm. Sieciechów,3
gm. Siemiątkowo,3
gm. Smołdzino,3
gm. Sosnówka,3
gm. Stara Błotnica,3
gm. Stara Dąbrowa,3
gm. Stare Czarnowo,3
gm. Stare Pole,3
gm. Stawiszyn,3
gm. Stepnica,3
gm. Studzienice,3
gm. Stupsk,3
gm. Suchy Dąb,3
gm. Szczaniec,3
gm. Szreńsk,3
gm. Sztabin,3
gm. Sławatycze,3
gm. Tarnówka,3
gm. Trzcinica,3
gm. Trzeszczany,3
gm. Tuczna,3
gm. Tuczępy,3
gm. Wapno,3
gm. Wicko,3
gm. Wiżajny,3
gm. Wyszki,3
gm. Wyśmierzyce,3
gm. Wądroże Wielkie,3
gm. Zabór,3
gm. Zaręby Kościelne,3
gm. Zawichost,3
gm. Zawonia,3
gm. Złota,3
gm. Łanięta,3
gm. Łukowa,3
gm. Łukta,3
gm. Łęka Opatowska,3
gm. Ślemień,3
gm. Żmudź,3
m. Brańsk,3
m. Gozdnica,3
m. Nieszawa,3
m. Piława Górna,3
m. Raciąż,3
m. Radymno,3
m. Rejowiec Fabryczny,3
m. Terespol,3
m. Wojcieszów,3
m. Łeba,3
