,official,low invalid,high invalid
biedron,2.2245829788509,2.29322951163114,1.96439342713141
bosak,6.78136779580412,6.80685806190525,6.68475256060649
duda,43.5023228273371,42.0472038277313,49.0176306640487
holownia,13.8653193605736,14.0827680524452,13.0411280231728
jakubiak,0.173224922025876,0.17407354875816,0.170008389447939
kosiniak,2.36475776567495,2.3177253782383,2.54302366356982
piotrowski,0.108442538633394,0.107846875134191,0.110700269833449
tanjano,0.143675424197456,0.143403292400621,0.144706879791196
trzaskowski,30.4620110317439,31.6444111037519,25.9803841785172
witkowski,0.140488814588433,0.146168430065439,0.118961484000124
zoltek,0.233806540570276,0.236311917938522,0.224310459880831
