,glosy_niewazne_proc wies
biedron,0.62683175598356
duda,0.46016096922663
piotrowski,0.45205975625552
jakubiak,0.43647705860401
kosiniak,0.41606265714185
zoltek,0.41346408219339
witkowski,0.40226279316396
tanajno,0.39266905258566
holownia,0.36422360968164
bosak,0.36036606914926
trzaskowski,0.35323007693679
